,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__epsilon,param_estimator__gamma,params
20,-83.7855322503963,-96.80432955030963,-91.23702089315132,-80.89534552917078,-111.26000044645909,-92.77845987864094,10.787744247083817,1,-0.00036206249844309395,-0.0003624277039938552,-0.0003621203114986746,-0.00036191194338363946,-0.00036188971253444226,-0.0003620824339707411,1.935211169590967e-07,8.219899892807007,0.37271950066238124,0.6712162971496582,0.04825341695659295,638.4296061338359,0.019133805869689782,10.0,"{'estimator__C': 638.4296061338359, 'estimator__epsilon': 0.019133805869689782, 'estimator__gamma': 10.0}"
21,-145.7204035064539,-176.56722657177994,-151.05561356965572,-150.55142626581798,-157.19875166488396,-156.1977296634044,10.806893788933152,1,-146.45829133847027,-140.15277190091143,-146.36173479154843,-147.41944392663453,-143.09157059615924,-144.6967625107448,2.7023176106478783,5.345743465423584,0.10038628580286811,0.3927752494812012,0.013393878170643417,1000.0,1.0,0.01,"{'estimator__C': 1000.0, 'estimator__epsilon': 1.0, 'estimator__gamma': 0.01}"
22,-26.93756124003592,-34.38397386153711,-27.534176453567547,-24.371092788124084,-38.13050977442811,-30.264808329359905,5.137049802078649,1,-0.6809548280105043,-0.6814233293052254,-0.6826374867094984,-0.6850904375819833,-0.6781703337904972,-0.6816552830795417,0.0022562943881823797,8.402595520019531,0.23856383445420268,0.41176486015319824,0.02806945612590293,912.2269122836827,0.9683722091206872,4.2609179147051135,"{'estimator__C': 912.2269122836827, 'estimator__epsilon': 0.9683722091206872, 'estimator__gamma': 4.2609179147051135}"
23,-27.65236458688157,-35.26939518091517,-28.222424717011613,-25.0252354057192,-39.261916050218936,-31.07941309114078,5.308578954191801,1,-0.5780578252024628,-0.5775871975457075,-0.5796379550733672,-0.5804729996706876,-0.5748962742540314,-0.5781304503492513,0.00192459870372964,8.472555494308471,0.3662714014791801,0.3873786449432373,0.015098649773991401,124.62771787931929,0.8826288433048407,4.387251478952576,"{'estimator__C': 124.62771787931929, 'estimator__epsilon': 0.8826288433048407, 'estimator__gamma': 4.387251478952576}"
24,-21.657175602512435,-28.14858856386158,-22.816945620268847,-19.85710442395075,-30.141770892045855,-24.51859418336619,3.9379332240637006,1,-0.5956558970264831,-0.5966131485817902,-0.5982051790237566,-0.6017957495653791,-0.5935589043666718,-0.5971657757128161,0.002760857418239345,10.832006216049194,0.38567032304763105,0.39957146644592284,0.01978141125015598,998.0500230737681,0.9084336237385227,3.4869698875886455,"{'estimator__C': 998.0500230737681, 'estimator__epsilon': 0.9084336237385227, 'estimator__gamma': 3.4869698875886455}"
25,-20.13629559506971,-26.181050458713422,-21.589339069607348,-18.624496355601554,-27.795992266640624,-22.8599873655855,3.530314045415626,1,-0.460352551182381,-0.4594395978537993,-0.4608426871239479,-0.4631149258374082,-0.45766750354006247,-0.4602834531075198,0.0017826967705077289,13.033347988128662,0.5081222602225026,0.4151625156402588,0.018173064222265646,763.305812491173,0.7886896852867179,3.2485233491389773,"{'estimator__C': 763.305812491173, 'estimator__epsilon': 0.7886896852867179, 'estimator__gamma': 3.2485233491389773}"
26,-17.6281120720803,-22.30998965219668,-19.761631947361376,-16.808361336703516,-23.47624966771121,-19.992140877599578,2.5798831013158687,1,-0.3470295163718747,-0.3459542122636218,-0.3447747782886825,-0.34674677519555774,-0.3442711039898863,-0.3457552772219246,0.001078005300041426,19.640369606018066,0.4437093094133954,0.4089663982391357,0.00837100328035688,929.6276453312448,0.6789837333877463,2.6665654753961716,"{'estimator__C': 929.6276453312448, 'estimator__epsilon': 0.6789837333877463, 'estimator__gamma': 2.6665654753961716}"
27,-16.594578182782843,-19.92030986801895,-19.52099037979099,-16.58368903663523,-21.312001398435697,-18.78193905139552,1.8906217035895685,1,-0.26063206524639715,-0.2600352921395496,-0.25736132279801294,-0.2594320435451667,-0.2585988175804166,-0.2592119082619086,0.0011440116394862568,34.141678714752196,1.5750303459299873,0.3793830871582031,0.05106519872550442,878.8852406155443,0.5849904304020894,2.1575492191259453,"{'estimator__C': 878.8852406155443, 'estimator__epsilon': 0.5849904304020894, 'estimator__gamma': 2.1575492191259453}"
28,-16.829913773068466,-20.568633158952984,-19.06867830325686,-16.36767485905058,-21.533366139147034,-18.869573926388547,2.022012021470314,1,-0.4187869471015972,-0.4212408714058325,-0.4275596630646281,-0.43727324605368567,-0.4233357591200091,-0.4256392973491505,0.006490665759504953,25.219580078125,0.5298391564719463,0.3929752826690674,0.012165097947295433,329.2123716541541,0.7467348473237647,2.299460344113855,"{'estimator__C': 329.2123716541541, 'estimator__epsilon': 0.7467348473237647, 'estimator__gamma': 2.299460344113855}"
29,-16.5968841270223,-19.212900886005897,-20.09352722665307,-17.120274627580965,-21.094225344954896,-18.81911797474797,1.7204344652412116,1,-0.21890077106524225,-0.21829271919956952,-0.21929968581805187,-0.22133059757379633,-0.2182837732497643,-0.21922150938128487,0.0011224293189724412,52.12479724884033,2.465573128373724,0.38178176879882814,0.04669836415368772,997.9486547314663,0.5341066532098439,1.8928059041598326,"{'estimator__C': 997.9486547314663, 'estimator__epsilon': 0.5341066532098439, 'estimator__gamma': 1.8928059041598326}"
